#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dpdh 11=m 12=mh 
0.01 0.0013 sign -99.0 0.1054338818750834 5726.963909476102 0.45488259144734006 0.9472095490666728 476.45619089566304 287.6509138214507 3.104160820766008e-8 2.563787235720324e-7
0.011 0.0014 sign -99.0 0.1038953313415113 5361.667221542082 0.45042024893061705 0.9424421402574182 443.32120566851853 266.3231730986342 2.27001428972409e-7 1.9040631316939846e-6
0.012 0.0015 sign -99.0 0.10260248043919167 5039.502173841002 0.44655664970530795 0.9383723708691583 414.5536990157383 247.98772838369288 8.635887892004578e-7 7.339448758307302e-6
0.013 0.0016 sign -99.0 0.10150082521894316 4753.375500178217 0.44316322834035526 0.9348443135151155 389.3456851554138 232.05336098510605 3.1257650226283224e-6 2.6866751654192383e-5
0.014 0.0017 sign -99.0 0.10055128260596684 4497.605061574914 0.4401465273715052 0.9317441303596611 367.07457886072353 218.07322656281278 6.1410335534073434e-6 5.33034643652953e-5
0.015 0.0018 sign -99.0 0.09972463836785407 4267.565547799317 0.43742960132623404 0.9289850091523902 347.2457464779687 205.70374301526982 8.706578864121636e-6 7.622291196978619e-5
0.016 0.002 sign -99.0 0.10265881058021317 3775.479170601021 0.44373795465400045 0.935925384799613 312.75259246211505 186.6856823214719 2.6268990576448035e-6 2.228912437063125e-5
0.017 0.0021 sign -99.0 0.10181829503140771 3612.3016650691898 0.44102089505241804 0.9331331486305849 298.35225937621743 177.57411132849992 5.150369277987127e-6 4.407582422174175e-5
0.018 0.0022 sign -99.0 0.10106817824778863 3462.381795357088 0.43852173624306173 0.9305920760212028 285.23859542580306 169.32421124656025 7.27841876026212e-6 6.276642534803716e-5
0.019 0.0023 sign -99.0 0.10039400211326709 3324.358720073248 0.43622141934919656 0.9282730922896343 273.26432426918876 161.82596934748705 7.763038672505504e-6 6.74102661090989e-5
0.02 0.0024 sign -99.0 0.09978521369049376 3196.803875175763 0.4340869099483954 0.9261396041562139 262.27942879646616 154.97709298877655 8.584688983855155e-6 7.501362624863064e-5
0.021 0.0025 sign -99.0 0.09923297469359127 3078.5594976858974 0.432095288233882 0.9241648161520327 252.16436720998047 148.69525214373328 8.736300079349934e-6 7.677464571868582e-5
0.022 0.0026 sign -99.0 0.09872966390337307 2968.664112679289 0.4302287603627152 0.9223286570647354 242.820637137614 142.91327413087723 8.692727632942386e-6 7.679022218838865e-5
0.023 0.0028 sign -99.0 0.1008438309347983 2721.7969626114977 0.4345455695178634 0.9270507248987833 225.71163617589545 133.54661215884585 8.8175241471213e-6 7.612568983080541e-5
0.024 0.0029 sign -99.0 0.10032183952135755 2635.5985123132396 0.432648916592552 0.9251686835672752 218.24611234818278 128.87868407505007 8.774770558953468e-6 7.61605632413074e-5
0.025 0.003 sign -99.0 0.09984038006448223 2554.6329645730543 0.4308562457176718 0.9234025194184408 211.27366385031382 124.53398867513822 8.732800266332402e-6 7.616971343402602e-5
0.026 0.0031 sign -99.0 0.0993949233314833 2478.4423395609656 0.42915645009798997 0.9217394191321663 204.74692616528168 120.47992244429162 8.622078164907311e-6 7.554718911381609e-5
0.027 0.0032 sign -99.0 0.09898160695710104 2406.6210436384063 0.4275402793414759 0.9201684996990808 198.62459650490376 116.68814570368856 8.676068630453339e-6 7.634243805975494e-5
0.028 0.0033 sign -99.0 0.09859707734054395 2338.805997055287 0.4259992628770053 0.9186802723380719 192.87001661760064 113.13388367133234 8.593732096538691e-6 7.591622267108437e-5
0.029 0.0034 sign -99.0 0.09823844993629666 2274.674296944578 0.42452642565456605 0.9172666331820587 187.45106616555182 109.79541064480225 8.525443285092271e-6 7.559005349341856e-5
0.03 0.0035 sign -99.0 0.09790320704977987 2213.936353279585 0.42311559281651145 0.9159205206382758 182.33921241977708 106.65358350339903 8.581722711767101e-6 7.635067452412846e-5
0.031 0.0037 sign -99.0 0.0995168746538477 2073.6031382324254 0.42623092807903695 0.9193188679653881 172.69042809191168 101.4020952037364 8.590970340410799e-6 7.50863415051013e-5
0.032 0.0038 sign -99.0 0.09916619241731985 2023.0350236472757 0.42479408315299244 0.9179375049939276 168.37035273735196 98.72521899397145 8.53505176720954e-6 7.486323198444496e-5
0.033 0.0039 sign -99.0 0.09883621061521086 1974.8514724421298 0.4234120783417751 0.9166162597685082 164.26969134332936 96.1902642897023 8.503404028532303e-6 7.483554490143606e-5
0.034 0.004 sign -99.0 0.09852515549773204 1928.8892583348181 0.4220805537563625 0.9153501329686509 160.37212404360747 93.78618643772373 8.530523444517678e-6 7.531126056440103e-5
0.035 0.0041 sign -99.0 0.09823144501878729 1884.999741245195 0.42079561024432255 0.9141346973973428 156.6629143782235 91.50307303163535 8.503033511502187e-6 7.529225997453948e-5
0.036 0.0042 sign -99.0 0.09795367385717935 1843.0469300962263 0.4195537682511812 0.9129659859483686 153.12870792942377 89.33197641109952 8.47066178465077e-6 7.521682897338324e-5
0.037 0.0043 sign -99.0 0.0976905836489707 1802.906401545145 0.4183519030127044 0.911840451746867 149.7573834717804 87.26481408433278 8.509298446628941e-6 7.576123684639919e-5
0.038 0.0044 sign -99.0 0.09744103885198441 1764.464283682853 0.4171871922381343 0.9107549316092813 146.53792181989147 85.29427882051665 8.384497475122717e-6 7.483852166583389e-5
0.039 0.0045 sign -99.0 0.09720402651555338 1727.6156763868678 0.4160571014805705 0.909706547905432 143.4602620742117 83.41371333288595 8.39101433826989e-6 7.507599286401272e-5
0.04 0.0047 sign -99.0 0.0984840529589363 1640.9236311386326 0.4183861268865786 0.912245634189921 137.53249070633922 80.20395427146715 8.416617130008805e-6 7.423703620574367e-5
0.041 0.0048 sign -99.0 0.09823521500868009 1609.021710760437 0.4172365327951269 0.9111720345938319 134.83450079775403 78.54454837127153 8.468357277700191e-6 7.487993144346596e-5
0.042 0.0049 sign -99.0 0.0979979268613931 1578.327395663274 0.41611886309783025 0.9101328553510274 132.24553325981304 76.95490194685019 8.380019848041263e-6 7.42750851868989e-5
0.043 0.005 sign -99.0 0.09777140271046297 1548.7738336501038 0.4150311254015794 0.9091258602220251 129.75907872790012 75.43068190369966 8.377906068753024e-6 7.442475541148574e-5
0.044 0.0051 sign -99.0 0.09755492510494647 1520.2992006211434 0.41397154022268184 0.9081490353235143 127.36916070372801 73.96791631960608 8.352160748368156e-6 7.435661870844921e-5
0.045 0.0052 sign -99.0 0.097347838981481 1492.8459363523934 0.41293845870454216 0.9072005304594166 125.07024767609387 72.56294589148932 8.361816138680956e-6 7.4596441886392e-5
0.046 0.0053 sign -99.0 0.09714954452508837 1466.3605139800327 0.4119303749733715 0.906278656286976 122.85722716376108 71.21239849363262 8.374732863984376e-6 7.485927386909352e-5
0.047 0.0054 sign -99.0 0.09695949169958139 1440.7930611341512 0.410945905383955 0.9053818635225657 120.7253631265778 69.91316009337044 8.309523697251232e-6 7.441675777163148e-5
0.048 0.0055 sign -99.0 0.09677717507758754 1416.0969992600062 0.40998376148201054 0.9045087219853659 118.67025465203254 68.66234868782243 8.312429175806765e-6 7.457745350708441e-5
0.049 0.0056 sign -99.0 0.09660212944000693 1392.2288815133243 0.4090427668192897 0.9036579210236022 116.68781983541281 67.4572964579872 8.306041816301976e-6 7.464929723419742e-5
0.05 0.0057 sign -99.0 0.09643392592861415 1369.148076321902 0.4081218318205551 0.9028282505915592 114.77426020707897 66.29552815473411 8.20885261692171e-6 7.389839452823893e-5
0.051 0.0058 sign -99.0 0.09627216827458901 1346.8165140922376 0.40721993540928925 0.9020185878711592 112.92603213481779 65.17474325023055 8.266728684689579e-6 7.453801401821687e-5
0.052 0.0059 sign -99.0 0.09611649035659983 1325.1985888776953 0.40633614957456893 0.9012279013053348 111.13983948343284 64.0928034955833 8.16949417188802e-6 7.377397013734604e-5
0.053 0.006 sign -99.0 0.09596655255014899 1304.2608443373838 0.4054695923762493 0.9004552272453257 109.41259578285828 63.0477156679312 8.243362765631027e-6 7.455040735381491e-5
0.054 0.0061 sign -99.0 0.09582204033067213 1283.9719179757622 0.40461945953977346 0.8996996767868344 107.74142269016093 62.03762197966752 8.222179970947525e-6 7.446382942864028e-5
0.055 0.0063 sign -99.0 0.0967912237599755 1235.507661127697 0.40624364465777624 0.9014656583696299 104.46030882781972 60.27639534859807 8.180204119683163e-6 7.326951639737993e-5
0.056 0.0064 sign -99.0 0.09663807315975981 1217.2941802051753 0.4053795395752595 0.9006930756304675 102.94455963301954 59.355607326690865 8.19918326931657e-6 7.354932800660949e-5
0.057 0.0065 sign -99.0 0.09649014757045934 1199.607861436417 0.40453120194408887 0.8999370000622442 101.47493787972651 58.46380928710865 8.159244868488478e-6 7.329651640051745e-5
0.058 0.0066 sign -99.0 0.0963471802843349 1182.4263276673003 0.4036979442274912 0.8991966745619815 100.04936126217109 57.599648109474195 8.187063727685011e-6 7.364856348282351e-5
0.059 0.0067 sign -99.0 0.09620892287036334 1165.7284312996096 0.40287912374903184 0.8984713896944655 98.66587057844998 56.76185289345413 8.134707985155721e-6 7.327560311482981e-5
0.06 0.0068 sign -99.0 0.0960751425089375 1149.4941951503924 0.4020741368899764 0.8977604833736617 97.3226216438081 55.94923054951706 8.140440297819698e-6 7.342200891134747e-5
0.061 0.0069 sign -99.0 0.09594562173900331 1133.7047115816765 0.4012824173916979 0.8970633337881734 96.01787603223924 55.16065840045583 8.105543482877925e-6 7.319847122102201e-5
0.062 0.007 sign -99.0 0.09582015651265809 1118.3420896723067 0.4005034330157687 0.896379358891012 94.74999451735671 54.39508022218133 8.14099061386425e-6 7.360716681104553e-5
0.063 0.0071 sign -99.0 0.09569855575484584 1103.389372179373 0.39973668272432633 0.8957080108379448 93.51742911785695 53.65150038085542 8.133038775281154e-6 7.362087756276274e-5
0.064 0.0072 sign -99.0 0.09558063993190442 1088.8304876416632 0.3989816946229514 0.8950487752307814 92.31871758958967 52.92898028377985 8.07289456996761e-6 7.315867795202489e-5
0.065 0.0073 sign -99.0 0.09546624026476011 1074.650192806307 0.39823802422441434 0.8944011684698232 91.15247761745474 52.22663425915867 8.058090075078223e-6 7.31039731686453e-5
0.066 0.0074 sign -99.0 0.09535519811232279 1060.8340135892693 0.3975052517439218 0.8937647344212147 90.01740089221354 51.54362551120991 8.073849347433328e-6 7.33240398423262e-5
0.067 0.0075 sign -99.0 0.0952473641656819 1047.3681984974232 0.39678298017581565 0.8931390425922446 88.91224825373006 50.87916287342389 7.995376095545661e-6 7.268533113338535e-5
0.068 0.0076 sign -99.0 0.09514259757288725 1034.239684134147 0.3960708353499567 0.8925236878654703 87.83584610077709 50.23249821980446 8.022017449112478e-6 7.299943461748973e-5
0.069 0.0077 sign -99.0 0.09504076565959757 1021.4360382614585 0.3953684619821734 0.8919182863259332 86.7870807780598 49.60292284371755 8.027534096649175e-6 7.311938903975282e-5
0.07 0.0078 sign -99.0 0.09494174313545213 1008.9454320114769 0.39467552392309657 0.891322475372992 85.76489567347716 48.98976537891231 7.994098417855037e-6 7.288219332744852e-5
0.071 0.0079 sign -99.0 0.09484541163154239 996.7566029750944 0.3939917029357723 0.8907359120986014 84.76828757548034 48.39238930561733 8.012976287930363e-6 7.311978924035241e-5
