#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dphd 11=m 
0.001 1.0 sign -99.0 1.65293457691582e-11 1.000413404500382 3.2729826381840974e-10 0.6366197737681178 0.9999999999863879 0.6366197750755067 1.0
0.002 1.0 sign -99.0 3.7237970570404606e-13 1.000801622282146 8.714072998200626e-12 0.6366197724112066 0.9999999999996967 0.6366197724522884 1.0
0.003 1.0 sign -99.0 7.550206913274857e-15 1.0012074554282635 2.0461847192962365e-13 0.6366197723687587 0.9999999999999938 0.6366197723698758 1.0
0.004 1.0 sign -99.0 1.5308467019029629e-16 1.0016127512738444 4.715167300619031e-15 0.6366197723676122 0.9999999999999994 0.6366197723676411 1.0
0.005 1.0 sign -99.0 3.1038773528270145e-18 1.0020180362334752 1.0708700178808013e-16 0.6366197723675823 0.9999999999999994 0.6366197723675829 1.0
0.006 1.0 sign -99.0 6.293285022867766e-20 1.0024233209726034 2.4041004319624448e-18 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.007 1.0 sign -99.0 1.2759987560933665e-21 1.0028286057072653 5.346567696419937e-20 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.008 1.0 sign -99.0 2.5879247842238893e-23 1.0032338904418363 1.179778454365044e-21 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.009 1.0 sign -99.0 8.015266750156032e-24 1.0036391751764056 3.276508449462167e-23 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.01 1.0 sign -99.0 1.8381546299897492e-21 1.0040444599109748 1.6954276687858827e-21 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.011 1.0 sign -99.0 1.6510393071002066e-19 1.004449744645544 1.52347434716291e-19 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.012 1.0 sign -99.0 6.9817292814858e-18 1.0048550293801133 6.449756665898776e-18 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.013 1.0 sign -99.0 1.6544014369128063e-16 1.005260314114683 1.5308300365013281e-16 0.6366197723675822 0.9999999999999994 0.6366197723675822 1.0
0.014 1.0 sign -99.0 2.4877032042665077e-15 1.0056655988492547 2.3066662602071927e-15 0.6366197723675823 0.9999999999999994 0.6366197723675834 1.0
0.015 1.0 sign -99.0 2.600292744702309e-14 1.006070883583859 2.416977773616662e-14 0.6366197723675956 0.9999999999999994 0.6366197723676091 1.0
0.016 1.0 sign -99.0 2.0229596830667375e-13 1.0064761683186947 1.885496093795448e-13 0.6366197723676909 1.0000000000000029 0.6366197723678015 0.9999999999999971
0.017 1.0 sign -99.0 1.2341729539836668e-12 1.0068814530548456 1.1536779952610793e-12 0.636619772368254 1.0000000000000246 0.6366197723689352 0.9999999999999793
0.018 1.0 sign -99.0 6.1492658266199845e-12 1.00728673779707 5.765626546711426e-12 0.6366197723709567 1.0000000000001323 0.636619772374379 0.9999999999998908
0.019 1.0 sign -99.0 2.5837225560626994e-11 1.0076920225627952 2.4299471615768875e-11 0.6366197723818657 1.0000000000005875 0.6366197723963594 0.9999999999995142
0.02 1.0 sign -99.0 9.39233816632588e-11 1.008097307406828 8.860144583504817e-11 0.6366197724198785 1.0000000000022555 0.6366197724729842 0.9999999999981429
0.021 1.0 sign -99.0 3.015879805226553e-10 1.008502592480446 2.853430898339415e-10 0.6366197725366768 1.000000000007627 0.6366197727085241 0.9999999999937416
0.022 1.0 sign -99.0 8.700302730520435e-10 1.0089078781569654 8.255267175304711e-10 0.6366197728586698 1.0000000000231168 0.6366197733581512 0.9999999999810967
0.023 1.0 sign -99.0 2.286753973542984e-9 1.0093131652726746 2.1757465998739515e-9 0.6366197736666361 1.0000000000636944 0.6366197749889528 0.9999999999480845
0.024 1.0 sign -99.0 5.5403684336133795e-9 1.0097184555499144 5.285221117672866e-9 0.6366197755341766 1.000000000161448 0.636619778760068 0.9999999998688199
0.025 1.0 sign -99.0 1.2495374280426479e-8 1.0101237522847548 1.1949519065083446e-8 0.6366197795506048 1.0000000003802272 0.6366197868740204 0.9999999996919797
0.026 1.0 sign -99.0 2.6451653007136527e-8 1.0105290613914137 2.535542880993307e-8 0.6366197876563421 1.0000000008390606 0.6366198032564633 0.9999999993222175
0.027 1.0 sign -99.0 5.2931786112760214e-8 1.0109343928962677 5.085020583445016e-8 0.6366198031184273 1.0000000017474404 0.6366198345207676 0.9999999985922648
0.028 1.0 sign -99.0 1.0073234924500678e-7 1.0113397629642429 9.697187957166348e-8 0.6366198311699094 1.0000000034557905 0.6366198912663318 0.9999999972231903
0.029 1.0 sign -99.0 1.8326330450147766e-7 1.0117451965195727 1.7676567835585305e-7 0.636619879829809 1.0000000065243577 0.6366199897453035 0.999999994770345
